vibration,pressure,force,stroke_cycle_time,motor_current,temperature,replaced_parts,failures_frequency,downtime,reported_warnings,safety_bypass,status
5.26,98.28,497.38,2.5,22.7,41.79,3,6,0.01,0,0,safe
4.83,107.57,334.6,1.92,15.51,52.55,2,4,1.38,0,0,safe
4.55,112.99,492.87,1.55,21.53,44.73,1,5,1.42,0,0,safe
2.78,82,395.64,1.93,20.67,43.79,0,4,1.13,2,0,safe
3.92,94.98,553.57,1.92,21.97,51.19,4,6,1.41,0,0,safe
4.31,92.88,529.33,1.19,21.16,49.57,4,1,1.84,2,1,failure
6.59,90.2,424.81,1.98,29.82,33.97,0,4,0.64,2,0,safe
5.52,126.48,458.89,1.93,17.45,55.34,0,5,0.7,1,0,failure
2.36,106.07,415.26,2.21,17.88,54.66,1,5,0.13,1,1,failure
5.49,81.09,494.99,2.55,17.51,40.62,2,4,0.49,1,0,safe
4.42,113.77,576.41,2.34,17.78,47.77,4,9,1.03,1,0,failure
3.98,131.83,421.14,1.92,17.45,48.46,1,6,1.52,1,0,safe
5.92,115.49,540.32,1.67,24.76,46.82,2,9,0.24,2,0,failure
6.55,77.21,457.58,2.77,25.68,41.15,1,7,0.15,2,0,failure
6.4,92.74,436.57,2.02,17.72,40.3,4,6,1.09,0,0,safe
3.74,119,491.44,2,16.67,44.82,0,4,0,2,0,safe
4.54,89.38,417.18,1.99,21.89,53.21,0,0,0.2,2,1,failure
5.5,106.66,455.71,2.06,17.79,48.81,2,4,0.03,1,0,safe
6.46,111.62,404.17,1.96,22.53,42.41,3,9,0.18,2,0,failure
4.28,86.1,657.18,1.83,20.81,50.4,2,1,0.2,1,0,safe
4.72,99.11,502.82,1.84,13.94,25.06,3,4,0.49,0,0,safe
3.34,51.38,444.02,1.99,26.19,53.04,1,4,0.51,0,0,safe
3.21,84.63,517.12,1.84,27.18,32.82,1,1,2.07,2,0,safe
6.22,96.21,491.01,1.79,17.55,42.46,4,4,0.71,0,0,safe
7.03,81.28,482.32,2.03,18.45,37.16,3,3,1.29,2,0,failure
4.89,124.49,549.13,1.92,21.14,35.94,4,0,0.11,0,0,safe
6.51,78.55,560.6,2.45,21.34,53.13,0,2,0.26,1,0,safe
5.54,93.4,457.56,1.2,22.63,41.73,3,0,1.21,1,0,safe
4.03,101.96,453.93,2.33,28.04,47.43,2,4,0.05,1,1,failure
5.54,121.62,478,2.37,19.29,44.67,0,3,0.67,1,0,safe
7.31,78.46,315.85,1.38,16.81,48.34,0,6,0.91,2,0,failure
4.95,117.45,378.78,1.9,14.48,45.54,2,4,0.92,0,0,safe
7.35,100.15,609.35,1.89,17.08,36.02,0,9,0.02,2,0,failure
1.07,85.28,631.6,1.58,19.87,51.97,3,3,0.39,1,0,safe
6.23,106.93,480.08,1.77,27.18,41.54,4,1,1.01,2,0,safe
5.13,102.99,546.12,1.67,17.93,34.1,0,3,0.16,0,0,safe
4.55,91,524.9,2.53,20.9,42,3,1,1.19,2,0,safe
5.14,101.05,746.31,2.28,19.93,55.51,1,7,1.37,0,0,failure
2.02,94.22,589.57,2.38,24.75,50.95,3,2,4.02,2,0,safe
4.67,101.7,489.77,2.22,30.11,42.56,4,8,0.24,0,0,failure
5.54,109.93,423.56,1.66,17.88,42.56,3,3,1.74,0,1,failure
7.22,123.79,371.48,1.84,18.04,42.75,2,5,0.73,1,0,failure
4.22,81.43,516.28,2.15,24.18,59.54,4,9,0.47,0,0,failure
3.79,132,439.49,1.63,22.73,47.67,1,4,0.13,1,0,safe
4.25,70.72,386.22,2.21,27.39,48.01,2,9,1.33,1,0,failure
6.37,97.72,448.27,1.93,22.34,52.21,3,0,0.27,1,0,safe
5.49,108.82,413.48,1.89,18.56,46.67,4,8,0.46,2,0,failure
4.21,104.21,634.97,2.21,22.36,43.19,1,0,0.06,2,0,safe
5.77,90.66,570.53,2.13,24.43,43.63,2,7,1.62,2,0,failure
5.15,96.88,499.36,1.89,23.28,44.5,1,8,1.45,2,0,failure
6.45,92.6,618.4,2.35,22.03,44.74,3,8,1.32,0,0,failure
3.95,91.16,506.19,1.68,24.27,50.09,1,0,0.36,0,0,safe
4.51,112.74,431.1,2.18,24.68,45.36,0,1,0.19,2,0,safe
4.41,105.36,621.85,2.18,25.53,50.13,2,0,1.01,0,0,safe
2.8,89.61,543.11,1.91,22.59,44.43,1,9,0.69,0,0,failure
5.44,113.49,417.02,2.1,19.33,45.55,3,1,0.2,1,0,safe
5.39,104.61,484.77,1.62,20.59,31.01,3,9,1.16,1,0,failure
5.01,112.19,429.95,2.28,24.83,51.41,1,7,4.72,1,0,failure
4.65,109.44,389.38,1.94,16.73,47.43,3,4,1.38,1,1,failure
2.88,87.57,574.09,1.84,21.47,51.99,4,6,1.35,0,0,safe
4.37,91.6,652.75,2.31,18.43,24.73,4,1,3,2,0,safe
4.49,111.21,388.11,1.79,20.11,59.62,4,7,0.23,0,0,failure
3.8,109.16,545.04,1.58,25.11,44.02,0,5,0.83,0,0,safe
4.76,99.69,447.95,1.53,20.76,52.76,1,7,3.89,0,0,failure
5.61,101.76,461.03,2.18,20.19,37.72,0,0,0.18,1,0,safe
7.83,119.16,452.61,1.62,14.56,49.29,3,0,1.2,1,1,failure
5.26,91.13,430.88,2.53,22.99,37.63,0,6,0.88,1,0,safe
5.39,108.21,503.88,1.38,22.58,40.63,3,7,0.88,2,0,failure
4.89,96.97,433.52,2.51,28.65,58.4,3,2,1.2,0,1,failure
2.12,96.73,521.64,2.06,18.77,43.67,2,4,2.65,2,0,safe
4.96,116.48,495.98,1.97,20.88,46.52,4,0,1.53,1,0,safe
5.09,112.38,480.88,1.84,21,51.09,3,6,0.06,2,0,safe
8.69,112.2,427.39,2.12,26.31,48.47,2,4,1.92,0,0,failure
4.71,119.58,453.86,1.99,19.62,46.05,4,7,0.26,0,0,failure
5.45,100.32,560.43,2.33,21.12,47.55,3,7,0.47,1,1,failure
4.95,110.23,540.07,2.03,22.43,61.82,3,8,0.62,1,0,failure
3.25,95.35,421.8,2.05,20.75,44.6,0,6,0.66,2,0,safe
6.71,104.86,507.95,1.89,18.21,46.41,0,0,0.57,1,0,safe
6.13,98.05,560.11,1.98,20.78,52.35,4,2,2.77,1,0,safe
6.19,101.45,366.45,2.09,24.29,52.74,3,7,1.22,0,1,failure
3.64,108.93,543.47,1.49,15.89,53.31,1,2,1,1,0,safe
7.1,87.73,446.99,1.6,20.53,49.47,0,7,0.05,1,0,failure
2.9,131.39,545.65,2.22,17.2,37,4,0,2.34,0,0,safe
5.88,84.91,438.94,2.05,24.78,56.43,3,4,2.4,0,0,failure
8.29,81.79,355.61,1.94,13.91,36.98,3,3,1.52,2,0,failure
3.51,117.37,369.8,2.01,17.76,47.12,1,4,0.01,1,0,safe
4.15,111.87,503.85,2.1,21.51,39.72,4,7,0.06,0,0,failure
5.15,109.36,520.78,1.84,26.26,44.55,3,9,0.26,2,0,failure
4.24,109.43,427.65,1.77,19.74,47.3,0,3,0.14,2,0,safe
2.67,99.82,551.09,2.06,17.78,47.25,1,3,0.51,1,0,safe
5.1,86.54,367.08,1.71,27.52,47.95,4,2,2.56,1,0,safe
3.41,101.14,494.71,2.12,14.21,56.3,1,6,0.64,2,0,failure
5.71,89.84,403.12,1.49,11.2,48.17,0,2,0.01,0,0,safe
3.62,114.63,447.85,2.31,21.76,43.29,4,2,0.33,2,0,safe
7.32,97.79,503.79,2.14,17.99,51.75,1,9,0.05,1,0,failure
3.83,87.62,431.17,2.08,15.92,53.33,2,4,0.04,0,0,safe
4.52,95.18,469.24,2.29,22.83,36.41,0,4,0.32,0,0,safe
6.22,106.19,580.5,2.5,20.98,49.18,0,5,0.32,2,0,safe
3.15,91.54,453.85,2.3,17.74,49.91,0,7,1.55,1,1,failure
5.34,87.67,566.86,1.45,14.88,42.92,2,9,3.68,2,0,failure
6.96,103.66,409.62,1.62,23.49,54.63,2,5,0.46,2,0,safe
2.59,103.67,542.38,1.81,22.6,43.95,3,0,0.56,2,0,safe
5.28,92.4,615.33,2.01,19.6,45.88,1,7,1.86,0,0,failure
5.39,92.93,302.27,2.16,27.39,43.79,3,7,0.31,0,0,failure
6.17,103.48,436.25,1.78,15.72,45.11,1,8,0.17,1,0,failure
3.14,78.28,546.17,2.06,13.9,37.33,2,8,1.92,1,1,failure
3.02,78.89,483.76,1.77,17.23,34.92,2,1,0.05,2,0,safe
5.78,89.22,529.69,1.82,19.82,56.16,3,1,0.97,2,1,failure
5.45,96.8,451.68,1.58,20.97,39.07,4,2,0.83,2,0,safe
5.38,104.66,506.93,1.72,19.04,38.06,3,0,0.42,1,0,safe
5.52,122.13,487.55,1.59,21.41,29.93,1,3,0.38,0,1,failure
3.98,112.86,593.42,1.71,14.99,40.53,3,3,1.48,0,0,safe
5.35,97.6,520.35,2.32,25.78,35.74,0,8,0.09,2,0,failure
5.44,99.71,527.01,1.72,19.67,56.49,1,8,0.27,2,0,failure
3.93,84.96,467.05,2.79,24.47,52.07,1,8,1.32,2,0,failure
7.8,99.72,460.99,2.15,21.37,40.18,4,9,0.79,2,0,failure
5.71,95.67,465.4,2.06,21.83,60.77,2,6,0.14,1,0,failure
3.21,104.84,531.56,1.74,22.28,51.87,1,1,2.14,0,0,safe
5.98,87.59,466.32,2.21,21.79,42.73,2,9,0.5,2,0,failure
3.54,107.79,523.18,1.83,22.57,27.5,3,4,1.76,1,0,safe
6.18,122.99,666.03,2.04,25.32,61.04,0,3,1.55,2,0,failure
6.74,98.37,569.69,2.77,20.79,35.27,4,7,0.98,2,0,failure
3.77,106.03,473.92,1.97,22.84,33.48,2,1,0.68,0,0,safe
6.45,110.35,596.1,2.34,19.64,52.16,1,5,3.89,2,0,safe
5.62,93.98,467.35,1.79,25.76,62.08,2,4,0.16,0,0,failure
6.23,103.36,336.95,1.99,17.29,54.69,1,1,1.29,0,0,safe
7.85,100.19,419.35,2.53,27.2,48.95,2,9,0.21,0,0,failure
4.63,101.47,350.34,1.81,19.84,49.16,1,0,0.41,1,0,safe
3.87,88.4,471.88,2.54,14.28,50.97,3,7,0.37,1,0,failure
3.67,100.37,501.47,2.21,20.51,50.31,1,1,2.94,0,0,safe
3.78,107.47,634.11,1.83,17.28,46.97,1,6,3.42,2,0,safe
4.88,121.77,526.15,2.19,23.36,45.73,0,8,0.2,0,0,failure
5.51,114.39,482.47,2.29,17.39,44.56,1,8,0.02,2,0,failure
5.42,132.3,566.35,2.19,18.22,39.72,0,7,1.27,0,0,failure
6.24,88.49,323.11,1.53,12.44,43.04,4,9,0.54,2,0,failure
5.02,113.08,518.85,1.78,18.19,33.15,0,8,0.09,1,1,failure
7.18,102.75,561.67,1.93,10.3,44.31,3,1,1.15,2,1,failure
4.6,132.85,381.71,1.98,13.66,38.08,0,5,0.79,0,0,safe
9.08,87.88,591.5,2.19,23.04,37.27,4,3,3.94,1,0,failure
5.94,87.4,527.08,2.05,23.14,46.26,3,3,0.26,2,0,safe
3.71,91.01,466.78,1.6,21.7,54.74,2,4,0.52,2,0,safe
3.39,68.14,550.62,2.11,16.13,51.43,2,2,0.78,2,0,safe
5.72,92.11,681.66,2.18,19.81,34.01,0,0,1.57,2,0,safe
4.66,88.61,514.55,2.17,19.99,38.07,0,7,0.8,2,0,failure
6.07,102.26,519.86,2.32,15.37,51.59,4,4,0.95,1,0,safe
5.71,105.13,463.25,2.25,26.01,38.12,4,2,0.26,1,0,safe
4.89,128.14,432.01,2.14,23.51,43.43,1,9,1.88,1,0,failure
3.73,114.26,566.43,1.98,19.12,48.85,4,6,0.56,1,0,safe
2.73,91.35,431.51,1.5,20.11,38.22,1,6,0.15,0,1,failure
4.33,86.52,505.73,2.13,20.83,45.74,3,0,1.09,1,0,safe
6.28,107.38,461.79,2.06,11.83,35.66,0,8,0.24,2,0,failure
5.32,80.2,538.32,2.08,19.01,40.79,3,1,0.1,2,0,safe
3.13,127.47,526.69,1.62,17.27,47.24,4,4,1.98,1,0,safe
5.26,117.69,583,1.68,15.99,33.85,3,4,0.62,2,0,safe
5.58,92.96,459.2,2.32,18.88,48.08,3,7,1.38,1,0,failure
3.67,74.3,478.41,1.99,27.19,44.86,3,7,0.34,2,0,failure
5.23,120.31,421.7,2.2,22.56,48.87,4,6,1.55,0,0,safe
5.09,98.28,464.46,2.01,17.72,46.57,3,6,0.12,0,0,safe
3.29,118.57,530.18,2.01,22.29,54.55,1,5,0.44,1,0,safe
